"combo","symbol","days","win","retRate","ret","trades"
"ATR突破","BNB-USDT-SWAP","30","62.5",,"10.45","8"
"高盈利+ATR突破","BNB-USDT-SWAP","30","56.2",,"7.8","80"
"KDJ_MA_成交量","BNB-USDT-SWAP","30","64.7",,"3.45","17"
"高胜率+布林带_RSI","BNB-USDT-SWAP","30","100",,"0.82","2"
"趋势回调_布林带_RSI","BNB-USDT-SWAP","30","71.4",,"0.57","7"
"高盈利+KDJ_MA_成交量","BNB-USDT-SWAP","30","55.6",,"0.1","9"
"高盈利+高胜率+KDJ","BNB-USDT-SWAP","7","0",,"0","0"
"高胜率+MACD_RSI","BNB-USDT-SWAP","30","0",,"0","0"
"高盈利+高胜率+ATR","BNB-USDT-SWAP","7","0",,"0","0"
"高胜率+趋势+ATR","BNB-USDT-SWAP","30","0",,"0","0"
"高盈利+高胜率+布林带","BNB-USDT-SWAP","7","0",,"0","0"
"高盈利+布林带_RSI","BNB-USDT-SWAP","30","0",,"0","0"
"高胜率+ATR突破","BNB-USDT-SWAP","30","0",,"0","0"
"高胜率+趋势+布林带","BNB-USDT-SWAP","30","0",,"0","0"
"高胜率+趋势+MACD","BNB-USDT-SWAP","30","0",,"0","0"
"高胜率+KDJ_MA_成交量","BNB-USDT-SWAP","30","0",,"0","0"
"高胜率+趋势+KDJ","BNB-USDT-SWAP","30","0",,"0","0"
"高盈利+高胜率+MACD","BNB-USDT-SWAP","14","0",,"0","0"
"高盈利+MACD_RSI","BNB-USDT-SWAP","30","66.7",,"-0.08","3"
"高胜率+高盈利率组合","BNB-USDT-SWAP","30","50",,"-1.06","6"
"布林带_RSI","BNB-USDT-SWAP","30","57.1",,"-6.22","7"
"高盈利+ATR突破","BTC-USDT-SWAP","30","52.6",,"2.07","57"
"ATR突破","BTC-USDT-SWAP","30","30.8",,"2.02","13"
"KDJ_MA_成交量","BTC-USDT-SWAP","30","45.5",,"1.01","11"
"趋势回调_布林带_RSI","BTC-USDT-SWAP","30","100",,"0.9","6"
"高胜率+高盈利率组合","BTC-USDT-SWAP","30","57.1",,"0.25","7"
"高盈利+KDJ_MA_成交量","BTC-USDT-SWAP","30","50",,"0.04","6"
"高胜率+MACD_RSI","BTC-USDT-SWAP","30","0",,"0","0"
"高胜率+布林带_RSI","BTC-USDT-SWAP","30","0",,"0","0"
"高盈利+高胜率+布林带","BTC-USDT-SWAP","7","0",,"0","0"
"高胜率+KDJ_MA_成交量","BTC-USDT-SWAP","30","0",,"0","0"
"高盈利+高胜率+MACD","BTC-USDT-SWAP","14","0",,"0","0"
"高盈利+布林带_RSI","BTC-USDT-SWAP","30","0",,"0","0"
"高胜率+趋势+KDJ","BTC-USDT-SWAP","30","0",,"0","0"
"高盈利+高胜率+KDJ","BTC-USDT-SWAP","7","0",,"0","0"
"高胜率+趋势+ATR","BTC-USDT-SWAP","30","0",,"0","0"
"高胜率+趋势+布林带","BTC-USDT-SWAP","30","0",,"0","0"
"高胜率+趋势+MACD","BTC-USDT-SWAP","30","0",,"0","0"
"高胜率+ATR突破","BTC-USDT-SWAP","30","0",,"0","0"
"高盈利+高胜率+ATR","BTC-USDT-SWAP","7","0",,"0","0"
"高盈利+MACD_RSI","BTC-USDT-SWAP","30","50",,"-0.02","4"
"布林带_RSI","BTC-USDT-SWAP","30","25",,"-2.14","4"
"趋势回调_布林带_RSI","ETH-USDT-SWAP","30","77.8",,"3.59","9"
"布林带_RSI","ETH-USDT-SWAP","30","66.7",,"2.17","6"
"高胜率+布林带_RSI","ETH-USDT-SWAP","30","100",,"0.77","1"
"高盈利+高胜率+MACD","ETH-USDT-SWAP","14","0",,"0","0"
"高盈利+布林带_RSI","ETH-USDT-SWAP","30","0",,"0","0"
"高胜率+趋势+MACD","ETH-USDT-SWAP","30","0",,"0","0"
"高盈利+高胜率+ATR","ETH-USDT-SWAP","7","0",,"0","0"
"高胜率+KDJ_MA_成交量","ETH-USDT-SWAP","30","0",,"0","0"
"高胜率+趋势+布林带","ETH-USDT-SWAP","30","0",,"0","0"
"高盈利+高胜率+布林带","ETH-USDT-SWAP","7","0",,"0","0"
"高胜率+趋势+ATR","ETH-USDT-SWAP","30","0",,"0","0"
"高胜率+MACD_RSI","ETH-USDT-SWAP","30","0",,"0","0"
"高盈利+高胜率+KDJ","ETH-USDT-SWAP","7","0",,"0","0"
"高胜率+ATR突破","ETH-USDT-SWAP","30","0",,"0","0"
"高胜率+趋势+KDJ","ETH-USDT-SWAP","30","0",,"0","0"
"高胜率+高盈利率组合","ETH-USDT-SWAP","30","50",,"-0.17","8"
"高盈利+KDJ_MA_成交量","ETH-USDT-SWAP","30","42.9",,"-0.45","7"
"KDJ_MA_成交量","ETH-USDT-SWAP","30","41.7",,"-0.9","12"
"高盈利+MACD_RSI","ETH-USDT-SWAP","30","16.7",,"-1.5","6"
"高盈利+ATR突破","ETH-USDT-SWAP","30","42.2",,"-1.59","45"
"ATR突破","ETH-USDT-SWAP","30","20",,"-3.34","10"
"布林带_RSI","SOL-USDT-SWAP","30","77.8",,"2.9","9"
"ATR突破","SOL-USDT-SWAP","30","54.5",,"1.81","11"
"高胜率+趋势+KDJ","SOL-USDT-SWAP","30","0",,"0","0"
"高胜率+趋势+布林带","SOL-USDT-SWAP","30","0",,"0","0"
"高盈利+高胜率+KDJ","SOL-USDT-SWAP","7","0",,"0","0"
"高胜率+趋势+ATR","SOL-USDT-SWAP","30","0",,"0","0"
"高盈利+高胜率+布林带","SOL-USDT-SWAP","7","0",,"0","0"
"高胜率+MACD_RSI","SOL-USDT-SWAP","30","0",,"0","0"
"高胜率+KDJ_MA_成交量","SOL-USDT-SWAP","30","0",,"0","0"
"高盈利+高胜率+ATR","SOL-USDT-SWAP","7","0",,"0","0"
"高盈利+高胜率+MACD","SOL-USDT-SWAP","14","0",,"0","0"
"高胜率+趋势+MACD","SOL-USDT-SWAP","30","0",,"0","0"
"高胜率+ATR突破","SOL-USDT-SWAP","30","0",,"0","0"
"高盈利+布林带_RSI","SOL-USDT-SWAP","30","0",,"0","0"
"高胜率+布林带_RSI","SOL-USDT-SWAP","30","50",,"-0.09","4"
"高盈利+KDJ_MA_成交量","SOL-USDT-SWAP","30","50",,"-0.13","4"
"高盈利+MACD_RSI","SOL-USDT-SWAP","30","50",,"-0.25","4"
"高盈利+ATR突破","SOL-USDT-SWAP","30","53.2",,"-0.3","47"
"趋势回调_布林带_RSI","SOL-USDT-SWAP","30","42.9",,"-0.82","7"
"KDJ_MA_成交量","SOL-USDT-SWAP","30","40",,"-0.87","10"
"高胜率+高盈利率组合","SOL-USDT-SWAP","30","33.3",,"-2.6","6"
"KDJ_MA_成交量","XRP-USDT-SWAP","30","46.2",,"3.42","13"
"布林带_RSI","XRP-USDT-SWAP","30","75",,"2.28","8"
"高盈利+KDJ_MA_成交量","XRP-USDT-SWAP","30","33.3",,"1.5","6"
"ATR突破","XRP-USDT-SWAP","30","50",,"1.13","12"
"高胜率+布林带_RSI","XRP-USDT-SWAP","30","66.7",,"0.62","3"
"高盈利+MACD_RSI","XRP-USDT-SWAP","30","66.7",,"0.39","3"
"MACD_RSI","XRP-USDT-SWAP","30","53.3",,"0.08","15"
"高盈利+高胜率+ATR","XRP-USDT-SWAP","7","0",,"0","0"
"高胜率+MACD_RSI","XRP-USDT-SWAP","30","0",,"0","0"
"高胜率+趋势+ATR","XRP-USDT-SWAP","30","0",,"0","0"
"高盈利+高胜率+MACD","XRP-USDT-SWAP","14","0",,"0","0"
"高盈利+高胜率+布林带","XRP-USDT-SWAP","7","0",,"0","0"
"高盈利+高胜率+KDJ","XRP-USDT-SWAP","7","0",,"0","0"
"高胜率+趋势+MACD","XRP-USDT-SWAP","30","0",,"0","0"
"高胜率+ATR突破","XRP-USDT-SWAP","30","0",,"0","0"
"高胜率+趋势+KDJ","XRP-USDT-SWAP","30","0",,"0","0"
"高胜率+趋势+布林带","XRP-USDT-SWAP","30","0",,"0","0"
"高胜率+KDJ_MA_成交量","XRP-USDT-SWAP","30","0",,"0","0"
"高盈利+布林带_RSI","XRP-USDT-SWAP","30","0",,"0","0"
"趋势回调_布林带_RSI","XRP-USDT-SWAP","30","70",,"-0.64","10"
"高盈利+ATR突破","XRP-USDT-SWAP","30","49",,"-1.26","49"
"高胜率+高盈利率组合","XRP-USDT-SWAP","30","57.1",,"-1.65","7"
