====== 每币种组合排名（规则A，聚合b-最高值） ======
=== BNB-USDT-SWAP ===
1. ATR突破 | 天数:30 | 胜率:62.50% | 收益率:- | 收益:10.45% | 交易:8
2. 高盈利+ATR突破 | 天数:30 | 胜率:56.20% | 收益率:- | 收益:7.80% | 交易:80
3. KDJ_MA_成交量 | 天数:30 | 胜率:64.70% | 收益率:- | 收益:3.45% | 交易:17
4. 高胜率+布林带_RSI | 天数:30 | 胜率:100.00% | 收益率:- | 收益:0.82% | 交易:2
5. 趋势回调_布林带_RSI | 天数:30 | 胜率:71.40% | 收益率:- | 收益:0.57% | 交易:7
6. 高盈利+KDJ_MA_成交量 | 天数:30 | 胜率:55.60% | 收益率:- | 收益:0.10% | 交易:9
7. 高胜率+趋势+KDJ | 天数:30 | 胜率:0.00% | 收益率:- | 收益:0.00% | 交易:0
8. 高胜率+趋势+布林带 | 天数:30 | 胜率:0.00% | 收益率:- | 收益:0.00% | 交易:0
9. 高胜率+趋势+MACD | 天数:30 | 胜率:0.00% | 收益率:- | 收益:0.00% | 交易:0
10. 高盈利+布林带_RSI | 天数:30 | 胜率:0.00% | 收益率:- | 收益:0.00% | 交易:0
11. 高盈利+高胜率+MACD | 天数:14 | 胜率:0.00% | 收益率:- | 收益:0.00% | 交易:0
12. 高胜率+趋势+ATR | 天数:30 | 胜率:0.00% | 收益率:- | 收益:0.00% | 交易:0
13. 高胜率+ATR突破 | 天数:30 | 胜率:0.00% | 收益率:- | 收益:0.00% | 交易:0
14. 高盈利+高胜率+KDJ | 天数:7 | 胜率:0.00% | 收益率:- | 收益:0.00% | 交易:0
15. 高盈利+高胜率+ATR | 天数:7 | 胜率:0.00% | 收益率:- | 收益:0.00% | 交易:0
16. 高盈利+高胜率+布林带 | 天数:7 | 胜率:0.00% | 收益率:- | 收益:0.00% | 交易:0
17. 高胜率+KDJ_MA_成交量 | 天数:30 | 胜率:0.00% | 收益率:- | 收益:0.00% | 交易:0
18. 高胜率+MACD_RSI | 天数:30 | 胜率:0.00% | 收益率:- | 收益:0.00% | 交易:0
19. 高盈利+MACD_RSI | 天数:30 | 胜率:66.70% | 收益率:- | 收益:-0.08% | 交易:3
20. 高胜率+高盈利率组合 | 天数:30 | 胜率:50.00% | 收益率:- | 收益:-1.06% | 交易:6
21. 布林带_RSI | 天数:30 | 胜率:57.10% | 收益率:- | 收益:-6.22% | 交易:7

=== BTC-USDT-SWAP ===
1. 高盈利+ATR突破 | 天数:30 | 胜率:52.60% | 收益率:- | 收益:2.07% | 交易:57
2. ATR突破 | 天数:30 | 胜率:30.80% | 收益率:- | 收益:2.02% | 交易:13
3. KDJ_MA_成交量 | 天数:30 | 胜率:45.50% | 收益率:- | 收益:1.01% | 交易:11
4. 趋势回调_布林带_RSI | 天数:30 | 胜率:100.00% | 收益率:- | 收益:0.90% | 交易:6
5. 高胜率+高盈利率组合 | 天数:30 | 胜率:57.10% | 收益率:- | 收益:0.25% | 交易:7
6. 高盈利+KDJ_MA_成交量 | 天数:30 | 胜率:50.00% | 收益率:- | 收益:0.04% | 交易:6
7. 高胜率+趋势+布林带 | 天数:30 | 胜率:0.00% | 收益率:- | 收益:0.00% | 交易:0
